customer_id,first_name,last_name,email,phone,birth_date,city,country,postal_code,segment,registration_date,last_login,is_verified,accepts_marketing
27,Luke,Johnson,  luke.johnson27@email.com  ,+1 935-417-4465,1999-05-08,,Canada,72518.0,Platinum_v2,2024-04-05,2024-08-24,True,False
28,Valerie,"Taylor
",VALERIE.TAYLOR28@EMAIL.COM,+1 964-821-6378,1989-01-17,San Diego,USA,52789.0,,,2020-12-08,True,True
29,Mary,Smith,mary.smith29@email.com,,1967-01-09,Dallas,UK,43450.0,Platinum,2020-02-09,2023-02-24,True,False
30,Anna,Williams,anna.williams30@email.com,,1966-02-26,San Diego,USA,35914.0,,2023-10-14,2023-12-28,True,False
31,Camilla,  Miller  ,camilla.miller31@email.com,+1 818-848-5904,1981-01-23,Philadelphia,USA,34619.0,Silver,2022-09-28,2025-02-07,True,False
32,Martin,Smith,,+1 292-393-8753,1969-02-05,Phoenix,USA,87713.0,Silver,2020-09-16,2020-12-30,True,True
33,Camilla,Davis,,+1 300-300-3156,1998-07-20,Phoenix,France,90724.0,Gold,2024-05-27,,False,True
34,Gabriel,,gabriel.davis34@email.com,+1 492-548-6136,1974-10-06,Philadelphia,USA,68875.0,Platinum,2023-10-15,2025-07-07,False,False
35,John,Williams,john.williams35@email.com,+1 640-884-9475,,San Antonio,USA,89021.0,Platinum,2021-05-07,,True,False
36,Mary,Miller,mary.miller36@email.com,+1 634-857-3589,1990-04-23,Los Angeles,,38075.0,Silver,2023-09-27,2025-10-23,False,False
37,Charles,,charles.brown37@email.com,+1 475-722-7228,1963-08-07,Philadelphia,Germany,31953.0,Platinum,2024-03-14,2024-07-29,True,False
38,Camilla,moore,camilla.moore38@email.com,+1 239-235-9014,1994-01-22,"Chicago
",USA,71832.0,,2020-07-24,2025-07-04,False,False
39,Valerie,Johnson,,+1 262-531-1027,2001-12-15,San Antonio,France,33782.0,Godl,,2020-07-04,False,False
40,Martin,Brown,martin.brown40@email.com,+1 631-997-7025,1971-03-28,San Antonio,France,74614.0,Silver,2022-08-15,2025-04-30,True,False
41,Laura,Davis,laura.davis41@email.com,+1 790-929-6659,1989-12-18,San Diego,,13179.0,Bronze,2022-10-12,2022-11-29,True,True
42,Matthew,Moore,  matthew.moore42@email.com  ,,1975-09-24,Philadelphia,UK,83183.0,Platinum,2020-11-01,2023-05-09,False,True
43,Anna,Moore,anna.moore43@email.com,+1 346-689-5409,,Philadelphia,Mexico,72571.0,,,,True,False
44,Valerie,Williams,valerie.williams44@email.com,+1 767-757-8111,1966-11-11,San Antonio,USA,97436.0,Bronze,2021-05-18,2025-07-29,True,False
45,,Taylor,john.taylor45@email.com,+1 418-504-1514,1969-08-30,Houston,France,27166.0,Platinum,2023-01-27,2026-02-05,True,False
46,Valerie,Moore,"valerie.moore46@email.com
",+1 827-423-7145,1998-03-21,San Diego,,70535.0,Platinum,2020-06-11,2022-02-04,False,True
47,Laura,SMITH,laura.smith47@email.com,+1 405-261-2775,1965-09-16,,Mexico,11493.0,Platinum,2020-02-11,2023-04-02,True,False
48,Martin,Johnson,martin.johnson48@email.com,+1 575-965-4566,1970-11-16,Philadelphia,UK,96484.0,Gold,,2023-06-25,True,True
49,Anna,Brown,anna.brown49@email.com,+1 549-749-1332,,Dallas,,94322.0,Gold,2021-11-06,2021-11-29,False,True
50,Valerie,Johnson,valerie.johnson50@email.com,+1 775-346-9214,1985-06-16,San Antonio,Canada,96040.0,Silver,2023-11-04,2026-05-18,True,False
51,Luke,Smith,luke.smith51@email.com,+1 812-748-8750,1967-03-14,Houston,Mexico,71727.0,Bronze,2021-09-15,2023-02-11,True,True
52,Charles,Brown,charles.brown52@email.com,+1 435-354-8231,1966-09-11,  Philadelphia  ,USA,98807.0,Bronze,,2020-09-06,False,True
53,Mary,MILLER,,+1 276-578-6347,1968-01-26,,UK,21727.0,Bronze,2023-08-04,2024-08-07,False,False
54,Camilla,Moore,camilla.moore54@email.com,+1 560-866-1612,,San Diego,USA,46990.0,Gold,2020-02-08,2020-05-23,False,True
55,Anna,Wilson,anna.wilson55@email.com,+1 854-467-1333,2001-07-25,"New York
",USA,67590.0,Bronze,2022-05-24,2022-12-18,True,True
56,Matthew,Brown,matthew.brown56@email.com,+1 279-343-4351,,Dallas,Mexico,0.0,,2024-01-09,2025-08-24,True,False
57,Valerie,Davis,valerie.davis57@email.com,+1 279-837-3329,1980-04-19,SAN ANTONIO,,59781.0,Bronze,2021-05-06,2026-01-11,True,True
58,Matthew,Jones,matthew.jones58@email.com,,1988-06-05,Philadelphia,France,46044.0,Bronze,,2021-11-06,False,True
59,David,Wilson,david.wilson59@email.com,+1 654-159-7103,1977-09-24,Philadelphia,Mexico,52708.0,Bronze,2023-12-10,2024-02-06,True,False
60,Peter,Davis,peter.davis60@email.com,+1 275-372-8036,1998-06-22,Phoenix,Canada,18688.0,Platinum,2020-06-13,2021-11-15,True,True
61,Mary,Jones,mary.jones61@email.com,+1 646-940-9749,2002-09-11,Phoenix,Canada,85194.0,Bronze,2024-04-18,,True,False
62,Peter,Williams,peter.williams62@email.com,+1 259-900-3432,1993-01-28,San Diego,Mexico,66856.0,Bronze,2021-09-30,2025-12-27,True,True
63,Valerie,MILLER,valerie.miller63@email.com,+1 488-490-6098,,Dallas,France,95337.0,Bronze,2021-12-04,2025-12-06,True,False
64,Camilla,Wilson,camilla.wilson64@email.com,+1 391-222-6051,1999-01-19,San Antonio,,97296.0,Bronze,,2023-06-15,True,False
65,Mary,  Miller  ,,+1 460-595-5874,1998-07-13,Philadelphia,France,33380.0,Silver,2024-05-25,2026-01-23,False,False
66,,Brown,luke.brown66@email.com,+1 321-794-8647,1985-11-19,Los Angeles,USA,75634.0,Gold,2021-05-03,2026-04-03,False,True
67,PETER,Davis,PETER.DAVIS67@EMAIL.COM,+1 324-700-2632,2005-01-08,New York,USA,45537.0,Platinum,2021-09-11,2024-02-27,True,True
68,Mary,Jones,mary.jones68@email.com,,,San Diego,Canada,80052.0,Bronze,2020-12-19,2023-07-23,True,True
69,Charles,Wilson,charles.wilson69@email.com,+1 635-571-3621,1991-08-13,San Diego,France,71651.0,,2020-03-05,2022-12-27,True,True
70,Peter,Wilson,peter.wilson70@email.com,+1 336-320-1960,,Philadelphia,USA,64626.0,Bronze,2022-02-24,2022-11-16,True,True
71,David,Moore,david.moore71@email.com,+1 372-173-8261,1975-05-12,,UK,39802.0,Bronze,2022-10-18,2026-05-13,True,True
72,Mary,Brown,mary.brown72@email.com,+1 452-147-9184,1963-06-14,Chicago,France,95562.0,Bronze,2021-04-22,2022-02-20,True,False
73,LUKE,Moore,luke.moore73@email.com,+1 409-137-9444,1962-07-01,Houston,USA,25339.0,Silver,2023-02-05,2024-03-18,True,False
74,Lucy,,lucy.johnson74@email.com,+1 204-282-3237,1970-04-18,Houston,USA,79473.0,Platinum,2020-01-27,2024-09-20,False,False
75,Luke,Smith,luke.smith75@email.com,+1 417-866-4423,1971-01-12,San Antonio,USA,0.0,Platinum,2021-01-10,2025-11-13,True,True
76,Matthew,Smith,matthew.smith76@email.com,+1 454-301-5440,1996-04-05,San Diego,Canada,53300.0,Silver,2020-12-05,2026-01-16,False,False
77,David,Smith,david.smith77@email.com,+1 959-948-2170,1976-04-04,Dallas,,0.0,Silver,2023-03-10,2023-09-13,False,False
78,Gabriel,Davis,gabriel.davis78@email.com,+1 307-957-7901,1966-12-18,Phoenix,Mexico,30083.0,Bronze,,2024-10-19,False,False
79,Charles,Johnson,charles.johnson79@email.com,+1 569-378-2912,1974-01-06,Dallas,Canada,23484.0,Gold,2022-04-08,2022-11-27,True,False
80,Camilla,Johnson,camilla.johnson80@email.com,+1 246-932-1409,1964-05-03,Chicago,USA,14356.0,Bronze,2022-03-23,2023-09-08,True,True
81,Luke,Moore,luke.moore81@email.com,+1 250-846-9075,1975-11-07,Chicago,Germany,53107.0,Bronze,2023-12-28,,False,False
82,David,Moore,david.moore82@email.com,+1 396-173-7783,,Chicago,USA,52466.0,Platinum_v2,2020-08-09,2023-06-26,True,True
83,Mary,Moore,mary.moore83@email.com,+1 406-659-2369,1979-12-15,Austin,USA,93315.0,,2022-03-17,2025-02-15,False,False
84,Charles,Williams,charles.williams84@email.com,+1 641-478-1998,1991-02-11,Phoenix,Germany,98360.0,Silver,2023-08-19,2024-08-21,True,False
85,Sophie,Jones,sophie.jones85@email.com,+1 708-800-1735,2003-11-22,Houston,USA,78370.0,Gold,2023-06-08,2025-04-09,False,True
86,Lucy,Johnson,lucy.johnson86@email.com,+1 401-626-8658,,San Antonio,USA,0.0,Bronze,2022-02-12,2025-09-27,True,True
87,David,Miller,david.miller87@email.com,  +1 511-223-9013  ,2003-03-04,Houston,USA,0.0,Gold,2020-02-22,2020-12-17,True,False
88,David,,david.brown88@email.com,+1 549-516-2340,,San Diego,,20838.0,Gold,2024-02-23,2025-10-02,True,True
89,Charles,Johnson,,+1 600-839-9934,1972-11-24,Austin,Canada,85900.0,Silver,2021-03-26,2023-08-04,False,True
90,Charles,Smith,charles.smith90@email.com,+1 240-460-6532,1986-09-09,San Diego,USA,96843.0,Gold,2023-10-09,2024-03-13,False,False
91,John,Miller,john.miller91@email.com,+1 771-420-1372,1968-06-30,San Diego,USA,12207.0,Platinum,2022-05-22,2022-06-02,True,False
92,Gabriel,Miller,gabriel.miller92@email.com,+1 522-749-5744,1969-01-05,Phoenix,,73126.0,Bronze,2022-09-09,2023-05-21,True,False
93,Lucy,Brown,lucy.brown93@email.com,+1 446-894-6223,1966-11-18,Phoenix,USA,32160.0,Bronze,2022-08-21,2024-09-10,True,False
94,David,Jones,david.jones94@email.com,+1 619-119-8514,1976-11-18,Chicago,USA,88256.0,Bronze,2023-03-31,2024-10-03,False,False
95,Martin,Brown,martin.brown95@email.com,+1 944-187-3300,1989-01-24,New York,Germany,34727.0,Platinum,2023-04-17,2025-11-15,True,False
96,Gabriel,Davis,gabriel.davis96@email.com,+1 383-535-4157,1989-10-13,San Diego,Mexico,60026.0,Platinum,2023-04-14,2023-07-30,True,True
97,Laura,Jones,laura.jones97@email.com,+1 573-420-2701,,Houston,USA,56897.0,,2024-04-14,2025-09-25,True,False
98,John,Davis,john.davis98@email.com,+1 829-507-7962,1979-07-09,Houston,USA,44409.0,Platinum,2023-04-01,2024-10-03,True,False
99,Gabriel,Davis,,+1 925-625-4951,1995-07-06,San Diego,UK,42099.0,Silver,2022-12-28,2023-07-11,True,True
100,Gabriel,"Williams
",gabriel.williams100@email.com,,1975-02-14,Los Angeles,USA,56215.0,Silver,2020-08-07,2025-03-26,False,False
101,Mary,Williams,mary.williams101@email.com,+1 898-570-4079,1960-06-21,Austin,France,36644.0,,2020-02-17,2024-12-12,False,True
102,,,charles.williams102@email.com,+1 702-128-7546,1982-09-29,Houston,Canada,47560.0,Silver,2022-02-14,2024-04-16,True,False
103,Lucy,Miller,lucy.miller103@email.com,+1 675-542-3581,1974-05-31,Austin,UK,82241.0,Gold,2021-07-07,2021-07-30,True,True
104,Martin,Miller,martin.miller104@email.com,+1 212-199-5767,1965-02-03,"Chicago
",Germany,36844.0,Gold,2021-01-16,2023-12-12,True,True
105,,Davis,laura.davis105@email.com,+1 921-794-7282,1991-08-03,San Diego,Canada,35689.0,Bronze,2020-12-11,,True,False
106,Sophie,Taylor,sophie.taylor106@email.com,+1 421-624-9162,1995-08-18,Los Angeles,UK,95320.0,Silver,2024-01-27,2025-04-10,True,False
107,Luke,Brown,luke.brown107@email.com,+1 573-491-8282,1986-04-20,Phoenix,USA,0.0,Silver,2022-10-06,2025-01-30,True,False
108,David,Davis,david.davis108@email.com,,1995-03-21,Dallas,Mexico,65868.0,,2022-11-24,2023-10-11,False,False
109,Martin,williams,martin.williams109@email.com,+1 546-833-6874,1977-05-09,Philadelphia,USA,56364.0,,2022-02-21,2024-06-15,True,False
110,Valerie,,valerie.jones110@email.com,+1 348-944-7537,2003-10-06,San Antonio,France,33604.0,Gold,,2023-03-22,False,True
111,Anna,Johnson,anna.johnson111@email.com,+1 517-651-9114,2005-08-01,San Diego,USA,16828.0,Bronze,2021-07-13,,True,True
112,Peter,Davis,peter.davis112@email.com,+1 396-189-7248,1995-09-23,,,30790.0,Gold,2020-06-19,2024-06-03,False,False
113,Charles,Williams,charles.williams113@email.com,+1 222-643-8085,1983-06-30,San Diego,Canada,57752.0,Platinum,2021-10-03,2022-03-09,False,False
114,Charles,Jones,charles.jones114@email.com,+1 739-242-7126,1991-12-10,Dallas,Canada,86588.0,Bronze,,2025-11-17,False,True
115,Mary,  Brown  ,  mary.brown115@email.com  ,+1 660-502-5012,1996-10-16,New York,USA,46264.0,Bronze,2022-06-22,2023-09-23,False,False
116,Peter,,peter.wilson116@email.com,+1 745-791-9139,1996-05-25,Austin,,14714.0,Bronze,2021-09-01,2026-05-01,True,True
117,Peter,  Brown  ,peter.brown117@email.com,+1 516-337-8641,2000-08-15,Los Angeles,Mexico,78777.0,Platinum,2024-05-09,2024-11-23,False,False
118,Peter,Brown,peter.brown118@email.com,+1 318-816-4491,1974-03-28,San Antonio,USA,87459.0,,2024-03-07,2024-06-20,False,True
119,Valerie,Davis,valerie.davis119@email.com,+1 433-520-3820,2002-01-24,san antonio,,91151.0,Bronze,2020-02-24,2024-08-13,True,False
120,Charles,Taylor,charles.taylor120@email.com,+1 803-447-3088,1989-03-03,Chicago,USA,77338.0,Bronze,2021-05-24,2024-03-18,True,False
121,David,Moore,david.moore121@email.com,+1 616-537-4849,1999-08-13,Chicago,Germany,87731.0,Platinum,2021-06-30,2025-07-07,True,False
122,Lucy,,lucy.johnson122@email.com,+1 686-864-7136,1999-07-26,Philadelphia,USA,0.0,Bronze,2024-01-23,2025-03-30,True,False
123,Anna,Wilson,anna.wilson123@email.com,+1 950-256-3226,1966-03-13,Austin,Germany,55744.0,Platinum,2020-09-16,2023-04-13,True,True
124,Mary,Brown,mary.brown124@email.com,,1960-07-23,  Austin  ,France,16980.0,,2022-09-24,2025-01-02,True,False
125,Matthew,Johnson,matthew.johnson125@email.com,+1 370-847-7630,2000-10-10,New York,USA,76811.0,Gold,2021-06-07,2023-11-03,False,True
126,Gabriel,smith,gabriel.smith126@email.com,+1 410-561-7591,2005-08-27,Philadelphia,USA,60676.0,Platinum,2021-04-28,2023-10-24,False,False
127,Sophie,Johnson,sophie.johnson127@email.com,+1 565-694-3191,1965-03-17,Los Angeles,Mexico,42951.0,Silver,2022-09-14,2023-03-26,False,True
128,Martin,"Jones
",martin.jones128@email.com,+1 309-331-6686,2002-06-16,Dallas,Germany,54964.0,Silver,,2025-01-08,True,True
129,Anna,Davis,anna.davis129@email.com,+1 375-439-4036,1995-11-09,Dallas,Canada,30051.0,Gold,2021-06-07,2025-05-05,False,True
130,John,Moore,john.moore130@email.com,+1 220-351-7692,,,USA,0.0,Bronze,2021-12-11,,True,False
131,Mary,Taylor,mary.taylor131@email.com,+1 793-849-6495,2002-06-09,Dallas,Canada,23037.0,Platinmu,2023-05-21,,True,True
132,Valerie,Taylor,valerie.taylor132@email.com,+1 706-968-3211,1967-04-20,Dallas,UK,43005.0,Silver,2021-05-28,2026-05-18,True,False
133,,Williams,  gabriel.williams133@email.com  ,+1 586-706-7099,1980-03-11,Philadelphia,Germany,15984.0,Silver,2022-12-24,2022-12-26,True,False
134,Laura,Davis,laura.davis134@email.com,,2002-05-02,Dallas,USA,74322.0,Bronze,2022-06-21,2026-04-05,True,False
135,Martin,Brown,martin.brown135@email.com,+1 882-522-1390,,San Antonio,France,89981.0,Gold,2021-05-03,2023-02-28,True,True
136,Matthew,Davis,matthew.davis136@email.com,+1 223-984-8978,1961-04-12,Philadelphia,USA,65412.0,Bronze,2023-10-11,2023-11-23,True,False
137,,,matthew.johnson137@email.com,+1 974-767-9296,2001-03-31,San Antonio,France,24348.0,Gold,2023-05-01,2025-07-17,True,True
138,Matthew,Taylor,matthew.taylor138@email.com,+1 633-916-5425,1970-10-19,Phoenix,Germany,33382.0,Silver,,2024-11-10,True,False
139,Peter,Wilson,peter.wilson139@email.com,+1 391-330-2962,1967-08-13,  Phoenix  ,UK,21546.0,Platinum,2022-11-07,,True,False
140,Camilla,Moore,camilla.moore140@email.com,+1 951-298-5738,,San Antonio,Mexico,17717.0,Platinum,2021-11-16,2023-05-24,True,True
141,Luke,,luke.miller141@email.com,+1 836-814-6553,1967-01-10,Dallas,,57552.0,Gold,2021-03-09,2026-05-02,True,False
142,John,Moore,john.moore142@email.com,+1 867-222-6791,,Philadelphia,USA,50287.0,Platinum,2022-01-08,2023-07-01,False,False
143,LUCY,Brown,lucy.brown143@email.com,+1 479-354-3453,1999-10-22,Philadelphia,Canada,12243.0,,,2025-09-18,False,False
144,Sophie,Jones,sophie.jones144@email.com,+1 706-898-6486,,Los Angeles,Mexico,34089.0,Platinum_v2,,2025-03-22,False,True
145,David,Wilson,david.wilson145@email.com,,,San Diego,USA,82807.0,Platinum,,2022-01-03,True,False
146,Sophie,,sophie.taylor146@email.com,+1 769-455-5639,,"Los Angeles
",,59910.0,Bronze,2024-05-28,2025-02-24,True,True
147,Anna,Moore,anna.moore147@email.com,+1 364-178-3815,1968-01-24,Los Angeles,Canada,30120.0,Gold,2022-07-27,2024-12-14,True,True
148,Peter,Jones,peter.jones148@email.com,+1 950-983-6814,2002-06-14,Phoenix,UK,65406.0,Gold,,2022-07-30,True,False
149,Camilla,Taylor,camilla.taylor149@email.com,+1 408-985-6354,1979-05-01,Austin,France,62399.0,Gold,2023-02-21,,False,False
150,Matthew,Moore,matthew.moore150@email.com,+1 381-732-5711,2001-11-17,Dallas,Germany,66032.0,Bronze,2023-03-05,2023-03-29,True,False
151,Luke,Williams,luke.williams151@email.com,+1 812-600-7233,1970-11-26,Dallas,,0.0,,2023-10-13,,True,False
152,,,john.williams152@email.com,+1 679-132-2007,1989-04-02,Philadelphia,UK,0.0,Silver,2020-08-26,2026-01-25,False,False
153,Charles,Miller,charles.miller153@email.com,+1 293-645-3849,1970-06-04,,USA,0.0,Silver,2021-06-27,2024-06-24,True,True
154,Sophie,Wilson,sophie.wilson154@email.com,+1 726-414-4344,1981-04-15,,USA,84858.0,Silver,2020-11-08,2021-02-28,True,True
155,"Laura
",Johnson,laura.johnson155@email.com,,,New York,,17302.0,Platinum,2023-10-12,2026-05-11,True,True
156,Peter,Smith,peter.smith156@email.com,+1 533-919-4947,1994-06-20,San Antonio,Canada,87039.0,Bronze,2022-11-09,2025-02-03,False,False
157,Matthew,Smith,matthew.smith157@email.com,+1 708-577-8502,2001-09-09,New York,USA,49311.0,,2024-03-24,2025-11-08,True,True
158,Laura,Taylor,laura.taylor158@email.com,+1 716-259-2917,1968-11-02,Houston,USA,62201.0,Bronze,2024-01-23,2024-02-05,True,True
159,,Moore,,+1 428-446-6734,1976-05-16,Houston,France,91438.0,Gold,,2020-06-23,True,True
160,Mary,Brown,mary.brown160@email.com,+1 814-616-9111,,Austin,Germany,87811.0,Gold,2020-04-30,,True,True
161,"Matthew
",Jones,matthew.jones161@email.com,+1 382-657-7746,1988-04-14,san diego,,11549.0,Platinum,2022-12-12,2026-02-02,True,False
162,David,"Taylor
",david.taylor162@email.com,+1 455-520-1867,2003-11-19,Phoenix,USA,91893.0,Gold,2022-06-30,2023-11-10,False,True
163,Anna,Moore,anna.moore163@email.com,+1 709-316-5493,1976-12-16,chicago,Germany,86234.0,Gold,2021-04-06,2021-12-08,False,True
164,Valerie,Williams,valerie.williams164@email.com,+1 448-903-2406,1965-12-18,Philadelphia,Germany,41223.0,Silver,2024-01-27,2024-09-26,True,False
165,Mary,Davis,mary.davis165@email.com,,1994-11-25,Houston,USA,85104.0,Silver,2020-02-07,2020-08-29,True,True
166,Peter,Wilson,peter.wilson166@email.com,,2026-06-03,Austin,,0.0,Bronze,,2023-03-05,True,False
167,Lucy,Smith,,+1 204-635-5883,1984-08-12,Houston,USA,37677.0,Platinum,,2025-05-04,True,True
168,Charles,Johnson,,+1 454-146-3192,1994-07-19,Dallas,Canada,13794.0,Silver,2020-08-27,2025-09-26,True,True
169,Valerie,Brown,valerie.brown169@email.com,,1986-07-02,Los Angeles,USA,58058.0,Gold,2023-12-07,2025-04-19,True,True
170,Anna,"Moore
",anna.moore170@email.com,+1 921-426-2941,1972-04-23,phoenix,Mexico,61486.0,Platinum,2021-12-09,2024-09-07,True,False
171,David,Smith,,+1 916-302-9789,1999-09-19,New York,USA,59456.0,Bronze,2021-11-24,2025-05-06,True,True
172,,Johnson,,+1 254-582-8240,1964-03-10,New York,USA,44082.0,Bronze,2020-11-15,2023-06-08,False,False
173,Charles,Wilson,charles.wilson173@email.com,+1 359-144-4181,,San Antonio,,72094.0,Bronze,,2026-01-28,False,True
174,,Wilson,martin.wilson174@email.com,+1 675-195-2219,1979-09-20,San Diego,USA,34981.0,Silver,2023-09-20,2023-11-27,True,False
175,Charles,Williams,charles.williams175@email.com,+1 691-740-5586,1970-03-27,San Antonio,France,46807.0,Gold,2020-10-30,,True,True
176,Mary,,MARY.MOORE176@EMAIL.COM,+1 258-132-6226,1990-06-30,HOUSTON,USA,17522.0,Silver,2024-03-13,2024-07-27,False,True
177,Sophie,"Johnson
",sophie.johnson177@email.com,+1 815-963-2904,1978-07-22,,USA,35592.0,Platinum,2022-11-10,2026-05-14,True,True
178,Luke,Taylor,luke.taylor178@email.com,+1 524-190-6346,,Austin,UK,28349.0,Silver,,2026-05-16,True,False
179,John,Moore,john.moore179@email.com,+1 203-509-3408,1983-01-03,San Diego,USA,74065.0,Gold,2020-03-02,2021-05-09,True,True
180,Anna,Taylor,anna.taylor180@email.com,"+1 941-628-9788
",1975-04-04,Chicago,,77213.0,Gold,2023-06-17,2024-05-03,False,True
181,Laura,Williams,laura.williams181@email.com,+1 243-528-2025,,New York,USA,0.0,Gold_v2,2020-03-17,2022-04-03,True,True
182,Luke,Williams,,+1 469-419-4916,1985-09-29,Austin,UK,35113.0,Gold,2022-05-20,2025-07-10,True,False
183,Martin,Smith,martin.smith183@email.com,,1991-10-06,Houston,UK,66245.0,Bronze,2021-08-28,2025-01-12,True,True
184,Mary,,mary.moore184@email.com,+1 223-257-1262,1984-07-09,Chicago,,49942.0,Silver,2020-09-27,2024-10-02,False,False
185,David,Johnson,david.johnson185@email.com,,2001-03-06,Los Angeles,USA,0.0,Bronze,,2025-12-17,False,False
186,Lucy,Williams,lucy.williams186@email.com,+1 668-805-9582,2005-09-14,Chicago,France,93683.0,Gold,,2025-03-04,True,False
187,Martin,Smith,martin.smith187@email.com,+1 993-522-3599,1999-10-29,Chicago,Mexico,25562.0,Gold,2022-11-12,2025-02-23,False,False
188,Valerie,Davis,valerie.davis188@email.com,+1 469-579-9707,1969-10-03,Dallas,,42230.0,Platinum,2022-05-31,2024-01-06,False,True
189,Sophie,Moore,sophie.moore189@email.com,+1 878-510-6818,1972-08-02,Houston,Mexico,11996.0,Platinum,2022-11-11,2024-10-30,True,True
190,Sophie,Moore,,+1 826-825-2883,1969-12-19,Phoenix,Mexico,85680.0,Platinum,2023-11-16,2024-01-23,True,True
191,Laura,Williams,laura.williams191@email.com,+1 219-641-7974,1980-11-03,DALLAS,,27095.0,Bronze,2024-05-22,2025-12-08,True,True
192,Martin,Miller,martin.miller192@email.com,+1 708-499-7494,,Chicago,Germany,30548.0,Silver,2022-08-18,,True,False
193,Luke,Miller,luke.miller193@email.com,+1 865-828-2889,1996-08-25,Houston,France,54375.0,Gold,2021-01-01,2025-08-18,True,True
194,Matthew,"Moore
",matthew.moore194@email.com,+1 985-511-9813,1966-12-10,San Diego,Canada,86853.0,Bronze,2020-05-17,2022-05-14,True,False
195,Lucy,Wilson,lucy.wilson195@email.com,+1 333-639-3524,1966-08-04,Chicago,Canada,10614.0,,2020-01-30,2020-09-13,True,True
196,John,Jones,john.jones196@email.com,+1 933-178-3238,1979-07-12,Austin,UK,35472.0,Bronze,2023-11-07,2025-09-25,True,True
197,Mary,Brown,mary.brown197@email.com,+1 358-576-2510,1987-12-17,,France,72496.0,Gold,2021-07-23,2024-11-08,True,False
